Pos=NN I
Pos=IN O
Pos=DT I
Pos=NN I
Pos=VBZ O
Pos=RB O
Pos=VBN O
Pos=TO O
Pos=VB O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=IN O
Pos=NN I
Pos=NNS I
Pos=IN O
Pos=NNP I
Pos=, O
Pos=JJ O
Pos=IN O
Pos=NN I
Pos=NN B
Pos=, O
Pos=VB O
Pos=TO O
Pos=VB O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=IN O
Pos=NNP I
Pos=CC I
Pos=NNP I
Pos=POS B
Pos=JJ I
Pos=NNS I
Pos=. O

Pos=NNP O
Pos=IN O
Pos=DT I
Pos=NNP I
Pos=NNP O
Pos=NNP O
Pos=POS I
Pos=VBN I
Pos=NN I
Pos=TO O
Pos=DT I
Pos=NN I
Pos=JJ I
Pos=NN I
Pos=VBZ O
Pos=VBN O
Pos=TO O
Pos=VB O
Pos=DT I
Pos=NN I
Pos=IN O
Pos=NN I
Pos=IN O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=. O

Pos=CC O
Pos=NNS I
Pos=VBP O
Pos=VBG I
Pos=NN I
Pos=IN O
Pos=NN I
Pos=VBZ O
Pos=VBN O
Pos=VBN O
Pos=IN O
Pos=DT I
Pos=NN I
Pos=POS B
Pos=NN I
Pos=TO O
Pos=VB O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=NNS I
Pos=IN O
Pos=PRP$ I
Pos=NNP I
Pos=NNP I
Pos=NN I
Pos=JJ B
Pos=NNP I
Pos=. O

Pos=DT I
Pos=VBZ O
Pos=VBN O
Pos=DT I
Pos=NN I
Pos=IN O
Pos=DT I
Pos=NN I
Pos=VBG O
Pos=VBN O
Pos=TO O
Pos=VB O
Pos=NN I
Pos=NNS I
Pos=TO O
Pos=CD I
Pos=NN I
Pos=IN O
Pos=PRP$ I
Pos=JJ I
Pos=CD I
Pos=NN I
Pos=NN I
Pos=TO O
Pos=VB O
Pos=DT I
Pos=NN I
Pos=, O
Pos=NNS I
Pos=CC O
Pos=JJ I
Pos=NN I
Pos=NN I
Pos=NNS I
Pos=VBP O
Pos=. O

Pos=`` O
Pos=DT I
Pos=NNS I
Pos=IN O
Pos=NN I
Pos=IN O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=NN I
Pos=VBP O
Pos=RB O
Pos=RB O
Pos=IN O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=, O
Pos='' O
Pos=VBD O
Pos=NNP I
Pos=NNP I
Pos=, O
Pos=JJ I
Pos=NNP I
Pos=NN I
Pos=IN O
Pos=NNP I
Pos=NNP I
Pos=NNP I
Pos=. O

Pos=`` O
Pos=IN O
Pos=EX I
Pos=VBZ O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=NN I
Pos=, O
Pos=EX I
Pos=MD O
Pos=VB O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=IN O
Pos=NN I
Pos=, O
Pos='' O
Pos=VBD O
Pos=NNP I
Pos=NNP I
Pos=, O
Pos=NNP I
Pos=NN I
Pos=IN O
Pos=NNP I
Pos=NNP I
Pos=, O
Pos=DT I
Pos=NN I
Pos=IN O
Pos=NNP I
Pos=NNP I
Pos=NNP I
Pos=. O

Pos=NNS I
Pos=IN O
Pos=DT I
Pos=NN I
Pos=NNS I
Pos=VBP O
Pos=RB O
Pos=, O
Pos=CC O
Pos=JJ I
Pos=NNS I
Pos=VBP O
Pos=DT I
Pos=NNS I
Pos=TO O
Pos=VB O
Pos=DT I
Pos=RB I
Pos=VBN I
Pos=NN I
Pos=IN O
Pos=DT I
Pos=# I
Pos=CD I
Pos=CD I
Pos=( I
Pos=$ I
Pos=CD I
Pos=CD I
Pos=) I
Pos=NN I
Pos=IN O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=VBD O
Pos=IN O
Pos=NNP I
Pos=. O

Pos=DT I
Pos=NNP I
Pos=NN I
Pos=CC O
Pos=DT I
Pos=# I
Pos=CD I
Pos=CD I
Pos=NN I
Pos=VBN O
Pos=IN O
Pos=NNP I
Pos=VBP O
Pos=VBN O
Pos=RB O
Pos=IN O
Pos=DT I
Pos=# I
Pos=CD I
Pos=CD I
Pos=NN I
Pos=IN O
Pos=NNP I
Pos=CD I
Pos=. O

Pos=NNP I
Pos=NNP I
Pos=, O
Pos=JJ I
Pos=NN I
Pos=IN O
Pos=NNP I
Pos=NNPS I
Pos=CC I
Pos=NNP I
Pos=, O
Pos=VBD O
Pos=EX I
Pos=VBZ O
Pos=DT I
Pos=NN I
Pos=IN O
Pos=NNP I
Pos=POS B
Pos=NN I
Pos=NN I
Pos=VBZ O
Pos=VBG O
Pos=PRP I
Pos=TO O
Pos=VB O
Pos=NNS I
Pos=. O

Pos=IN O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=, O
Pos=PRP I
Pos=VBZ O
Pos=RB O
Pos=JJ O
Pos=IN O
Pos=DT I
Pos=NN I
Pos=IN O
Pos=NNS I
Pos=, O
Pos=VBN O
Pos=VBD I
Pos=JJ I
Pos=NN I
Pos=CC I
Pos=NN I
Pos=NNS I
Pos=NNS I
Pos=. O

Pos=PRP I
Pos=VBZ O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=NN I
Pos=MD O
Pos=VB O
Pos=TO O
Pos=RB I
Pos=# I
Pos=CD I
Pos=CD I
Pos=IN O
Pos=NNP I
Pos=. O

Pos=RB O
Pos=, O
Pos=NNP I
Pos=NNP I
Pos=VBD O
Pos=PRP I
Pos=VBZ O
Pos=IN O
Pos=DT I
Pos=NN I
Pos=IN O
Pos=JJ I
Pos=NN I
Pos=VBG I
Pos=IN O
Pos=NN I
Pos=MD O
Pos=VB O
Pos=TO O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=IN O
Pos=NNS I
Pos=. O

Pos=VBN O
Pos=IN O
Pos=IN I
Pos=JJS I
Pos=DT I
Pos=NN I
Pos=IN O
Pos=NNS I
Pos=IN O
Pos=NNP I
Pos=POS B
Pos=JJ I
Pos=NN I
Pos=, O
Pos=DT I
Pos=NN I
Pos=MD O
Pos=VB O
Pos=TO O
Pos=RB I
Pos=JJ I
Pos=IN I
Pos=# I
Pos=CD I
Pos=CD I
Pos=. O

Pos=NNP I
Pos=NNP I
Pos=, O
Pos=WP I
Pos=RB O
Pos=VBZ O
Pos=DT I
Pos=# I
Pos=CD I
Pos=CD I
Pos=JJ I
Pos=NN I
Pos=NN I
Pos=, O
Pos=VBZ O
Pos=IN O
Pos=RB O
Pos=IN O
Pos=DT I
Pos=NN I
Pos=NNS I
Pos=VBP O
Pos=JJ O
Pos=IN O
Pos=NN I
Pos=, O
Pos=DT I
Pos=NN I
Pos=MD O
Pos=RB O
Pos=VB O
Pos=JJ I
Pos=IN O
Pos=NNS I
Pos=MD O
Pos=VB O
Pos=TO O
Pos=VB O
Pos=JJ I
Pos=NN I
Pos=IN O
Pos=DT I
Pos=NN I
Pos=IN O
Pos=VBG O
Pos=NNS I
Pos=. O

Pos=RB O
Pos=, O
Pos=PRP I
Pos=VBD O
Pos=, O
Pos=`` O
Pos=DT I
Pos=PRP I
Pos=MD O
Pos=VB O
Pos=TO O
Pos=VB O
Pos=IN O
Pos=DT I
Pos=NN I
Pos=NNS I
Pos=IN O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos='' O
Pos=IN O
Pos=DT I
Pos=NN I
Pos=. O

Pos=RB O
Pos=, O
Pos=JJ I
Pos=NN I
Pos=IN O
Pos=DT I
Pos=NN I
Pos=VBZ O
Pos=RB O
Pos=VBN O
Pos=. O

Pos=IN O
Pos=PRP$ I
Pos=NNP I
Pos=NNP I
Pos=NN I
Pos=, O
Pos=NNP I
Pos=NNP I
Pos=VBD O
Pos=IN O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=MD O
Pos=VB O
Pos=VBN O
Pos=IN O
Pos=DT I
Pos=NN I
Pos=IN O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=IN O
Pos=NN I
Pos=NNS I
Pos=RBR B
Pos=DT I
Pos=NN I
Pos=VBZ O
Pos=NN I
Pos=. O

Pos=JJ I
Pos=NN I
Pos=NNS I
Pos=VBP O
Pos=IN O
Pos=PRP$ I
Pos=JJS I
Pos=NN I
Pos=IN O
Pos=CD I
Pos=NNS I
Pos=. O

Pos=CC O
Pos=NN I
Pos=NN I
Pos=NNS I
Pos=VBD O
Pos=NNP I
Pos=VBP O
Pos=RB O
Pos=VB O
Pos=IN O
Pos=DT I
Pos=NNP I
Pos=NN I
Pos=VBZ O
Pos=VBG O
Pos=DT O
Pos=RB O
Pos=. O

Pos=DT I
Pos=NNS I
Pos=VBP O
Pos=DT O
Pos=NN I
Pos=VBD O
Pos=CD I
Pos=NN I
Pos=IN O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=IN O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=CC O
Pos=VBD O
Pos=IN O
Pos=CD I
Pos=NN I
Pos=IN O
Pos=DT I
Pos=NN I
Pos=RB O
Pos=. O

Pos=DT I
Pos=VBZ O
Pos=IN O
Pos=DT I
Pos=CD I
Pos=NN I
Pos=NN I
Pos=IN O
Pos=DT I
Pos=NN I
Pos=IN O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=CC O
Pos=DT I
Pos=CD I
Pos=NN I
Pos=NN I
Pos=IN O
Pos=DT I
Pos=JJ I
Pos=NN I
Pos=IN O
Pos=CD I
Pos=. O

Pos=NNP I
Pos=NNP I
Pos=VBD O
Pos=DT I
Pos=NNS I
Pos=VBP O
Pos=DT I
Pos=NN I
Pos=`` O
Pos=VBZ O
Pos=RB O
Pos=RB O
Pos=JJ O
Pos=, O
Pos='' O
Pos=CC O
